"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER."
300315,"FAP",000400004630,"AD9","   P0570","                       ","H",           21.62,            4.54,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000100004010,"AD9","   P2519","                       ","H",         3025.00,          635.25,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000100004303,"MAT","   P2396","                       ","H",         2080.00,          436.80,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000100007863,"MAT","   P0020","                       ","H",         2800.00,          588.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000100049124,"AD9","   P2109","                       ","H",          928.20,          194.92,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000100171158,"AD9","   P0526","                       ","H",          386.77,           81.22,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000100171669,"AD9","   P0526","                       ","H",          411.15,           86.34,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000500010648,"COM","   P2530","                       ","H",          409.09,           85.91,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",000500010648,"IMP","   P2530","                       ","H",         1384.62,          145.39,            0.00,1,            0.00,            0.00,            0.00,            0.00
010415,"FAP",062700066657,"AD9","   P2441","                       ","H",          313.48,           65.83,            0.00,1,            0.00,            0.00,            0.00,            0.00
020415,"FAP",000100000297,"AD9","   P2523","                       ","H",          235.00,           49.35,            0.00,1,            0.00,            0.00,            0.00,            0.00
060415,"FAP",000100000332,"AD9","   P2523","                       ","H",          298.00,           62.58,            0.00,1,            0.00,            0.00,            0.00,            0.00
060415,"FAP",000200000202,"AD9","   P2529","                       ","H",         5000.00,         1050.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
060415,"FAP",000400004504,"MAT","   P0917","                       ","H",         2199.18,          461.83,            0.00,1,            0.00,            0.00,            0.00,            0.00
060415,"FAP",062700091233,"AD9","   P2441","                       ","H",          903.65,          189.77,            0.00,1,            0.00,            0.00,            0.00,            0.00
070415,"FAP",001602511862,"CO4","   P2212","                       ","H",           70.38,           19.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
080415,"FAP",000400004882,"AD9","   P0570","                       ","H",          183.08,           38.45,            0.00,1,            0.00,            0.00,            0.00,            0.00
080415,"FAP",000400045039,"AD9","   P0921","                       ","H",          197.00,           41.37,            0.00,1,            0.00,            0.00,            0.00,            0.00
100415,"FAP",001200055565,"AD9","   P2032","                       ","H",           59.80,           12.56,            0.00,1,            0.00,            0.00,            0.00,            0.00
110415,"FAP",001400020272,"AD9","   P2188","                       ","H",           40.27,            8.46,            0.00,1,            0.00,            0.00,            0.00,            0.00
130415,"FAP",000100021651,"AD9","   P2151","                       ","H",         1020.91,          214.39,            0.00,1,            0.00,            0.00,            0.00,            0.00
130415,"FAP",000700074270,"AD9","   P0902","                       ","H",          496.25,          104.21,            0.00,1,            0.00,            0.00,            0.00,            0.00
130415,"FAP",001000009188,"AD9","   P0755","                       ","H",          151.74,           31.87,            0.00,1,            0.00,            0.00,            0.00,            0.00
140415,"FAP",000100017021,"MAT","   P0018","                       ","H",         3854.13,          809.37,            0.00,1,            0.00,            0.00,            0.00,            0.00
140415,"FAP",001200058061,"AD9","   P2032","                       ","H",          120.95,           25.40,            0.00,1,            0.00,            0.00,            0.00,            0.00
150415,"FAP",000100002060,"AD9","   P2202","                       ","H",          650.00,          136.50,            0.00,1,            0.00,            0.00,            0.00,            0.00
150415,"FAP",000500022450,"MAT","   P1125","                       ","H",         1353.25,          284.18,            0.00,1,            0.00,            0.00,            0.00,            0.00
150415,"FAP",001000003051,"MAT","   P2173","                       ","H",         1232.93,          258.92,            0.00,1,            0.00,            0.00,            0.00,            0.00
160415,"FAP",000100020817,"MAT","   P2275","                       ","H",        13200.00,         2772.00,            0.00,1,            0.00,            0.00,            0.00,            0.00
170415,"FAP",000100110124,"MAT","   P0729","                       ","H",          749.32,          157.36,            0.00,1,            0.00,            0.00,            0.00,            0.00
170415,"FAP",000200086690,"AD9","   P0571","                       ","H",          525.09,          110.27,            0.00,1,            0.00,            0.00,            0.00,            0.00
200415,"FAP",000100006976,"MAT","   P2344","                       ","H",        19241.82,         4040.78,            0.00,1,            0.00,            0.00,            0.00,            0.00
200415,"FAP",001300020818,"AD9","   P2032","                       ","H",          120.95,           25.40,            0.00,1,            0.00,            0.00,            0.00,            0.00
210415,"FAP",000300065186,"MAT","   P0570","                       ","H",          531.98,          111.72,            0.00,1,            0.00,            0.00,            0.00,            0.00
210415,"FAP",000400009727,"AD9","   P1104","                       ","H",          293.38,           61.61,            0.00,1,            0.00,            0.00,            0.00,            0.00
210415,"FAP",000400045489,"AD9","   P0921","                       ","H",           90.00,           18.90,            0.00,1,            0.00,            0.00,            0.00,            0.00
