"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER.","0"
"050615","FAP","000101111154","MAT","P0729","","H","2228.74","468.04","0.00","1","0.00","0.00","0.00","0.00","2696.7799999999997"
"060415","FAP","000400004504","MAT","P0917","","H","2199.18","461.83","0.00","1","0.00","0.00","0.00","0.00","2661.0099999999998"
"030215","FAP","000100000990","MAT","P2355","","H","2185.35","458.92","0.00","1","0.00","0.00","0.00","0.00","2644.27"
"010515","FAP","209303877815","FA4","P2273","","H","2180.06","588.62","0.00","1","0.00","0.00","0.00","0.00","2768.68"
"260515","FAP","000200000150","MAT","P2109","","H","2172.72","456.27","0.00","1","0.00","0.00","0.00","0.00","2628.99"
"190115","FAP","000700070820","FMO","P0902","","D","2167.00","455.07","0.00","1","0.00","0.00","0.00","0.00","2622.07"
"090115","FAP","000100006209","PRP","P1117","","H","210.00","44.10","0.00","1","0.00","0.00","0.00","0.00","254.1"
"300315","FAP","000400004613","AD9","P0570","","H","21.62","4.54","0.00","1","0.00","0.00","0.00","0.00","26.16"
"300315","FAP","000400004630","AD9","P0570","","H","21.62","4.54","0.00","1","0.00","0.00","0.00","0.00","26.16"
"010415","FAP","000100004303","MAT","P2396","","H","2080.00","436.80","0.00","1","0.00","0.00","0.00","0.00","2516.8"
"120215","FAP","000100046675","MAT","P2134","","H","2065.55","433.77","0.00","1","0.00","0.00","0.00","0.00","2499.32"
"180515","FAP","100100206204","MAT","P0898","","H","2029.86","426.27","0.00","1","0.00","0.00","0.00","0.00","2456.13"
"240215","FAP","000100003996","AD9","P2114","","H","20.00","0.00","0.00","1","0.00","0.00","0.00","0.00","20"
"040515","FAP","000100049049","AD9","P2472","","H","198.68","41.72","0.00","1","0.00","0.00","0.00","0.00","240.4"
"080415","FAP","000400045039","AD9","P0921","","H","197.00","41.37","0.00","1","0.00","0.00","0.00","0.00","238.37"
"200415","FAP","000100006976","MAT","P2344","","H","19241.82","4040.78","0.00","1","0.00","0.00","0.00","0.00","23282.6"
